pos,videoId,kind,day_result,pnl_usd,account,trades_n,symbols,setups,mistakes,market,first_et,last_et,max_loss_hit,notable
276,wSSOmCN1DZY,recap,green,3900,?,4,BBGI,abcd;dip_buy,none,cold,?,?,?,"ABCD on BBGI 6.65 to 7.05 produced most of the $3,900 on a 10,000-share cap; one good trade a day is enough"
278,Lrg5pGOH6_c,recap,green,3500,?,2,SKYQ,micro_pullback,none,cold,?,?,?,"Two trades on SKYQ, +$3,600 and -$70; halved max size to 5,000 shares once green to protect the day"
280,6BgCNjfhLag,recap,red,-20752,?,?,MLEC;FCUV;IOTR;LNKS,half_whole_dollar;vwap_break;dip_buy;other,chased_extended;reentry_after_stop;ignored_own_filter;oversized;didnt_bank_green,cold,?,?,Y,"Found his hard max loss had been off the Lightspeed account for months; re-added it at $6,000"
281,9osEhbytsF0,watchlist,?,?,?,?,?,?,?,?,?,?,?,After -$57k on SKYQ he self-regulates to a $100k max position rather than withdrawing cash from the account
282,HrWHwpuz7E4,training,?,?,?,?,?,?,?,?,?,?,?,Trades only in a Roth IRA now; on ~$6M last year he would owe ~47% in MA but paid zero tax
285,S1p2ht0UcpI,recap,red,-57000,?,?,SKYQ,half_whole_dollar;other,chased_extended;oversized;reentry_after_stop;stop_widened;didnt_bank_green,cold,?,09:00,Y,"Red $57k on SKYQ though it closed up 118%; was at 75,000 shares at 6.50 when oil dropped at 9am"
287,t793KtZcfyE,recap,green,5498,?,?,CYCN;RENX,flat_top,none,mixed,?,?,?,"Made $7,400 on CYCN but lost on RENX; flipped red to green and stopped at high of day"
289,jZwBOwfSMhk,recap,red,-6700,?,2,NPT;KIDZ,half_whole_dollar,traded_low_quality;oversized,cold,?,09:45,Y,"Shut the broker down after max loss to avoid revenge trading; account near $800k, up 8x YTD"
291,unYS8e-5JAw,recap,green,744,?,1,UGRO,micro_pullback;half_whole_dollar,chased_extended,mixed,?,?,?,Passed on ELAB up 179% and BFRG: too thickly traded and too cheap for his tape-reading edge
294,3hmDWJfZ0_0,training,?,?,?,?,?,?,?,?,?,?,?,"Candlestick class: 11 shapes, no indicators, buy the instant price breaks the prior candle high"
295,w9byEpm5IQE,recap,green,20869,?,?,ONCS;ARTL,micro_pullback;dip_buy;half_whole_dollar,none,mixed,?,?,?,"$57k in two days (37k Thu, 20.9k Fri); walked at high of day, month at about $171k gross"
299,Mt4bM0l13J0,recap,green,37860,?,?,TGL;EEIQ,dip_buy;halt_resumption,slippage;outside_window,cold,?,?,?,"Turned a -$323 start into +$37.9k on EEIQ; one entry made $24k on about 30,000 shares"
302,tptW_GUZTTM,recap,red,-96,?,2,UGRO;QNRX,flat_top;half_whole_dollar,traded_low_quality;ignored_own_filter;chased_extended,cold,09:00,?,?,"Gross +$78 but -$96 net after $170 fees; +$4,500 QNRX cancelled by -$4,400 UGRO"
304,g5SkZVMPD6Q,recap,red,-6434,?,?,ELAB;ANNA;UGRO,flat_top;dip_buy,traded_low_quality;oversized,cold,07:25,?,Y,"Sets max loss from his average gain over the last 7 days, so it tightens in a cold market"
308,NSIVY9rExmM,recap,green,7605,?,?,UGRO,dip_buy;micro_pullback;half_whole_dollar,none,cold,07:10,?,?,81 tickets all on UGRO; skipped AHMA at 9:15 as too near the open with commissions already high
310,Yy53xTZ4zo0,watchlist,?,?,?,?,?,?,?,cold,?,?,?,Watching ANNA; 30-day metrics show his edge in foreign-listed sub-5M-float names above $5
313,hAipShFNYh0,other,?,?,?,?,?,?,?,?,?,?,?,Puerto Rico Act 60 means 0% tax on trading gains; he trades in a retirement account so has not moved
314,nM2MxYk6Eo0,recap,green,6021,?,8,ARTL,half_whole_dollar;dip_buy;other,traded_low_quality,cold,09:00,?,?,"Quit after giving back 15% off a $7,300 high; ARTL continuation, sub-1M float, reverse split"
317,YRxry3l0aLE,recap,green,2050.56,main,?,CHNR,micro_pullback;vwap_break,didnt_bank_green;oversized,cold,?,?,?,"Peaked at $5,000 then gave back half; 279,000 shares over 66 tickets cost about $400 in fees"
321,grVwxjck5I8,recap,green,9653.03,main,?,ARTL,half_whole_dollar;dip_buy;vwap_break,none,cold,?,?,?,First entry anticipated break of $7 whole dollar; 7:41 news made it the market's leading gapper
322,FlkrnF04qgY,recap,notrade,0,?,0,?,?,none,cold,?,?,?,No-trade day; skipped YDDL; treats 1-min MACD negative as a no-trade zone marking the back side
324,BGbnYupfTyk,recap,green,3000,main,?,?,?,none,?,?,?,?,Skipped WNW's 500% run: no cushion and outside his best time-of-day window; 2.1M float Chinese stock
326,qmj9lJDB5QU,recap,green,3374.62,main,?,MSRX,micro_pullback;dip_buy,none,cold,?,?,?,"Started the year with $100,000, account now over $700,000; day fell shy of his cold-market goal"
327,WMuwB3mXwHQ,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Watching CLIK, a 980k-float Hong Kong stock with no news, for Monday continuation"
329,_MV6pw3WKh4,recap,green,2202.69,main,4,KIDZ,micro_pullback;other,none,cold,?,?,?,Four for four on KIDZ but only about 5c a share; $292 of fees ate over 10% of the profit
331,0VjBl1ZwQVU,recap,green,9972.72,main,?,ATPC,micro_pullback;half_whole_dollar,none,cold,?,?,?,"Traded ATPC, a B-quality sub-1M float continuation with no news catalyst; one 3-cent loser"
333,trcKOZnoPPs,training,?,?,?,?,?,?,?,cold,?,?,?,"Bear-market steps: cut share size, fewer trades, A setups only, bank profits fast, exit if no move"
335,ZjkmBX7fgqI,recap,green,1302.55,main,?,INKT;VTAK;APVO;ATPC,micro_pullback;half_whole_dollar,added_to_loser;didnt_bank_green,cold,07:05,?,?,"Capped size at 10,000 shares with no cushion; recovered from -$5,500 on three losers via ATPC"
337,2IpOnPGuD2o,recap,green,2703.02,main,3,OPTX;FGL;LRHC,dip_buy;vwap_break;micro_pullback,added_to_loser,cold,?,?,?,"Three trades 100% accuracy; held OPTX through a flush that risked a $5,000 loss before bouncing"
338,JALBu5vI6tE,watchlist,?,?,?,?,?,?,?,?,?,?,?,Oil up 17-19% since Friday; hunting low-float energy or defense names with elevated short interest
341,tORBGTNTOUo,recap,green,1760,main,5,BATL;PRSO;INDO;SYNX,half_whole_dollar;dip_buy,didnt_bank_green,cold,07:05,?,?,"Walked away up $1,760 after giving back half the day; week ~$70K in Roth IRA"
343,KnpatDLAxjY,recap,green,5828,main,4,MTEK,micro_pullback;dip_buy,didnt_bank_green,cold,09:15,?,?,First trade not until 9:15; peaked +$10K on MTEK then gave back $5K on a high-volume rejection
345,ZsrvXHcfc8s,recap,green,52503,main,?,CANF;VCIG;ADVB,micro_pullback;flat_top,chased_extended;didnt_bank_green,hot,?,?,?,Peaked +$72K and quit after giving back ~30%; hard stop is giving back half the day
347,3s9fnCvdWMo,recap,green,8312,main,?,NPT,half_whole_dollar,didnt_bank_green,cold,?,?,?,"All trades on NPT, a no-news Chinese stock meeting 4 of 5 pillars; kept size under 10,000 shares"
348,WqLUp4QTCQY,recap,green,6831,main,?,BATL,micro_pullback;half_whole_dollar,chased_extended;didnt_bank_green,?,?,07:10,N,"Max loss set at $5,000; says 80% chance of doubling a loss if he trades past max loss"
349,3zGW52hzP6c,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Watching INDO, MXC, RBNE on a 12% oil futures gap; Feb ~$150K, YTD $548K, 72% accuracy"
350,Ch8J7gwrrJg,recap,red,-6700,both,?,BATL,dip_buy;micro_pullback,oversized;traded_low_quality,cold,?,?,Y,"Forgot to save a 10,000-share max size; 30,000 shares made the loss $6,700"
352,3ovOiVIJ_aM,recap,green,?,main,?,ALBT;NDRA,gap_and_go;half_whole_dollar,added_to_loser;broke_ice_boredom;oversized,cold,?,?,?,"Smallest green day: +$48.76 ALBT, +$13.15 NDRA, red net of commissions; set 10,000-share cap"
354,BiCYyGaTteE,recap,green,546,main,1,AIDS,half_whole_dollar,traded_low_quality,cold,09:00,09:00,?,"Deliberately traded only 1,000 shares in a cold market; 54c/share = $546, smallest green day of year"
356,xrRXxtRTiMA,recap,notrade,0,?,0,?,?,none,cold,?,?,?,Second straight no-trade day; would take a no-trade day over a red day; Feb ~$155K vs $400K January
358,5n24P_MtUEg,recap,notrade,0,?,0,?,?,none,cold,?,?,?,Snow-day no-trade day with P&L of $0.00; left volatile Chinese stock NCI alone as too risky
360,p5JkC4K8upc,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Watchlist NCI, PBM, MLEC, SNSE; Feb +$152K at 53% accuracy vs January +$400K at 80%"
362,K1Zvoes1SNQ,recap,green,5500,?,2,EDHL;MLEC,dip_buy;other,traded_low_quality,cold,?,?,?,"MLEC low-float reverse-split squeeze +$5,612; EDHL stop -$111.78; says cold market, batten down the hatches"
364,PPJLNKFS224,recap,green,?,?,1,ENVB,micro_pullback;half_whole_dollar,none,cold,?,?,?,"Skipped Ruby (no news, crowded level 2); ENVB reversed on a spoofer cancel-replace wall on the ask"
366,hxIw63KWMZI,recap,green,9373,main,?,SNSE,halt_resumption;first_pullback;micro_pullback,none,cold,?,?,?,"Halt scanner caught SNSE T1 halt 7:55, resumed ~8:50 at $15; bought first pullback at $27.53 in Roth IRA"
368,NA90q8dBJkI,recap,green,1600,?,1,VHUB,first_pullback,none,cold,07:30,07:30,?,"Icebreaker rule: small first winner means foot off the gas; VHUB 20,000 shares in and out for $1,600"
369,57G729mDHTs,watchlist,?,?,?,?,?,?,?,mixed,?,?,?,"Plan: break ice cautiously, size up on trades 2-4 only if trade 1 is green; watching RIME up 475% Friday"
372,AfxuHHa_sFY,recap,green,43000,?,1,MLEC,micro_pullback,chased_extended,cold,08:11,08:12,?,"Kept broker software closed to avoid getting sucked in; MLEC made $43,000 in 3 minutes between 8:11 and 8:12"
374,5yS8i0-aMvI,recap,green,4426,?,2,PMI,halt_resumption;dip_buy;micro_pullback;half_whole_dollar,traded_low_quality,cold,08:30,?,?,"PMI micro pullback +$9,959 flipped a -$5,500 halt-resumption dip-buy loss; halted stock ticker not named"
376,HYK2eKkViJs,recap,green,6000,?,2,BNRG;PRFX,vwap_break;micro_pullback;half_whole_dollar,chased_extended;added_to_loser;didnt_bank_green,cold,07:00,?,?,"PRFX: added up to $7.82, sell order would not fill, kept only $5,970 of a 100% move; MEMX spoof orders"
378,5Xbf_JuO-mE,recap,red,-12657,main,2,EVMN;VLO,micro_pullback;dip_buy;half_whole_dollar,ignored_own_filter;traded_low_quality;added_to_loser;slippage,cold,?,?,N,Stopped after two losers; says hard stop is one average day (~$20k) so $12.6k was under it; 75c exit slippage
379,gOi55ufRFDc,recap,green,4700,?,?,MNTTS;SXTC;UKA,micro_pullback;dip_buy;half_whole_dollar;halt_resumption,traded_low_quality;reentry_after_stop;didnt_bank_green,cold,08:00,?,?,"Was up about $10,000 and gave back half; SXTC, a no-news Chinese stock, cost $5,000 across two entries"
381,2DGfDknxTlg,watchlist,?,?,?,?,?,?,?,cold,?,?,?,Last week 30% accuracy yet +$75k on NPT alone ($9 to $30); warns of market-maker spoof orders on the ask
383,Z5D8nhEtzOo,recap,green,5500,?,?,FLE;RDIB,micro_pullback;half_whole_dollar;dip_buy;vwap_break,didnt_bank_green;traded_low_quality,cold,?,?,?,"Was up $13,000 and gave back half after buying back the dip; FLE squeezed $2/share, RDIB VWAP curl +$700"
384,HGATds95-p4,recap,red,-9300,?,?,BNAI;ARNA;RVSN,reversal;flat_top;other,broke_ice_boredom;didnt_bank_green;slippage;ignored_own_filter,cold,07:07,08:45,N,Walked away at -9.3k rather than push on; blames crypto selloff correlation for slow small caps
387,eGai4gYuo0Y,recap,green,81000,both,?,NPT,micro_pullback;half_whole_dollar;dip_buy;other,chased_extended;didnt_bank_green,?,?,?,?,Down 10k then NPT blue-sky squeeze $9 to $30 flipped him to +81k; $869 made in taxable account
388,RvwG_Dyfgms,recap,notrade,0,?,0,?,?,none,cold,?,?,?,"No-trade day; watched IPW, FUSE, ACCL, SWVL but no cushion and no real news catalysts kept him out"
389,GJd6CkCw-hQ,watchlist,?,?,?,?,?,?,?,?,?,?,?,"January: account $100k to just under $500k, 123 trades, 80% accuracy, avg win $4,400 vs avg loss $1,700"
391,016ibIK58t0,recap,green,31076.62,?,?,LRHC,vwap_break,added_to_loser;didnt_bank_green;reentry_after_stop,?,?,?,?,Peaked ~$39-40k realized on LRHC VWAP break then gave back 25% adding into resistance at $7
392,plxlYGblHoA,recap,green,6268.28,?,?,DCX,abcd,none,cold,?,?,?,Hit cold-market daily goal of $5k with one DCX ABCD break; skipped TCGL's 11-halt 700% squeeze
393,WYB5jmTDBO4,recap,green,?,?,?,SXTP;GRRI,half_whole_dollar;micro_pullback;dip_buy;other,didnt_bank_green;reentry_after_stop,hot,08:01,?,?,"Green ~$33k off a $45k high, gave back 25%; GRRI heavy from HC Wainwright $7M offering selling"
395,RAJXknk-VI4,recap,green,59752.51,?,?,BCTX;HIND,micro_pullback;first_pullback;half_whole_dollar;vwap_break;dip_buy;reversal,didnt_bank_green;reentry_after_stop,mixed,?,?,?,"Went all-in on HIND break of $7 with ~50k shares, rejected for more buying power"
397,8h9Qk9W-9ik,recap,green,11734.61,?,?,NVVE,micro_pullback;dip_buy,back_side,?,09:00,?,?,Missed BATL's 385% move fetching his glasses; only trade was NVVE after 9am breaking news
398,hQtGnlLS4Yo,watchlist,?,?,?,?,?,?,?,hot,?,?,?,"Account +$270k (about 270%) in January off a $100k reset; watching BNAI, NVNO, ASPB for Monday"
399,WImLVayOwRo,recap,green,16918.51,?,3,REYA;MOVE;SLE,vwap_break;micro_pullback;other,chased_extended;didnt_bank_green,hot,?,09:11,?,Peaked ~$18.5k vs $20k hot-market goal; sized down to 5k shares on MOVE to protect Friday green
402,Vd3ztXAFRRo,news,?,?,?,?,?,?,?,?,?,?,?,ThinkorSwim will lift small-cap trading restrictions if you phone in and accept a verbal risk disclosure
404,tnazRI3e3WY,recap,green,43950,main,?,BNAI;AQMS;PAVM,micro_pullback,didnt_bank_green,mixed,?,?,?,Reverse-split stocks are the tell; maxed buying power on PAVM; +$240k on month since $100k reset
406,Uft2BuJpap8,recap,green,20790.97,main,?,TWG,vwap_break,none,mixed,07:00,?,?,Hot-market daily goal is $20k vs $5k cold; stopped after one failed push instead of chasing it back
407,91PIW03yuvg,watchlist,?,?,?,?,?,?,?,?,?,?,?,Market closed for MLK; plan is to scan at 6:30 and focus on recent reverse splits and sub-5M floats
408,-jSYkNsGwcc,training,?,?,?,?,?,?,?,?,?,?,?,"YTD +$179k on $100k reset, 80% accuracy; edge stats 5x rel vol, $5-10, sub-5M float, 25M+ day volume"
411,ZKsNP11rU1Y,recap,green,20000,main,?,TNMG;GWAV;VERU;LCFY,dip_buy;half_whole_dollar,none,mixed,?,?,?,Four base-hit trades; peaked at $22k and finished $20k; account $100k to $250k YTD
412,W91hDuTXxw8,recap,green,?,both,?,CJMBB;SPHL,first_pullback,slippage,?,?,?,?,"Robinhood $2,000 challenge day 1: one CJMBB trade +$369.87 (+18%); also traded SPHL in main account"
414,0kC1DPUycE0,recap,green,24000,both,?,SPHL;BNKK;CJMBB,micro_pullback,oversized;added_to_loser;reentry_after_stop;slippage,hot,?,?,?,"Took 30,000 shares of SPHL out of the gate, went red, then missed the $2 to $12 move; +$15k on BNKK"
416,lneGXw0sxzo,recap,green,85000,main,?,ROLR,micro_pullback;dip_buy;half_whole_dollar;vwap_break,slippage,?,?,?,?,"ROLR crypto.com prediction-market headline at 8:18; +$52k in first five minutes, blue sky over $8 ATH"
417,cXp-i4wM4eQ,recap,green,4000,main,?,AHMA;IOTR,vwap_break;other,chased_extended;reentry_after_stop;stop_widened,mixed,07:00,?,?,AHMA and IOTR both blocked at Schwab; AHMA had no news and ran 10.50 to 15 right after he stopped out
418,EbsPz8WfNAY,recap,green,1600,main,3,OM;SOGP,micro_pullback;dip_buy,broke_ice_boredom;traded_low_quality,cold,?,09:00,?,"3 trades, 100% accuracy, +$1,600 vs $5k cold-market goal; skipped EVTV which ran 600% from under $1"
420,BNU-Xe9D59Y,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Week 1 +$42k on 16 trades, 75% accuracy; reverse-split watchlist PAVM, COODX, RVYL, MLEC"
423,BUJQPzYCtJ0,recap,red,-4921.37,main,?,APVO;AMPA,micro_pullback;dip_buy,ignored_own_filter;didnt_bank_green,cold,?,?,N,"Lost $11,000 on 2,000 shares of a $55 Chinese stock, biggest loss of the year; quit while down $4.9k"
425,vKjnG1YKXfY,recap,green,14024.98,main,5,ACON;FLYX,gap_and_go;micro_pullback,none,cold,07:00,?,?,Up 46K on week after Jan 1 reset to 100K; quits near high of day to carry momentum into next session
426,eYwFYoL6kDE,recap,notrade,0,main,0,?,?,none,cold,?,?,?,Passed on NVVE MNTS AZI LUCY GLUE; skips anything without 50c potential; rather no-trade day than red day
428,cgIghGaQtY4,training,?,?,?,?,?,?,?,?,?,?,?,"PDT-rule case study: cash acct 1760 in 10 trades, settlement margin 4168 in 31, 6x leverage 57176 in 31"
429,tDb0WPsRZT4,recap,green,7549.61,main,4,ALMS;OPTX;ELAB,dip_buy;micro_pullback,none,cold,?,?,?,Reset main account to 100K for 2026; chose to undertrade a slow day rather than force size
430,pKHzgYSBCEc,recap,green,139.44,small,1,OPTX,micro_pullback;half_whole_dollar,slippage,?,?,?,?,"Webull day 10 of 2K cash account: account at 3700, up 88 pct, 10 trades, 90 pct accuracy"
431,E0u1KKDsQ5Q,recap,green,25986.40,both,4,MNTS;RDHL,dip_buy;micro_pullback,none,?,?,?,?,"Buying power capped him: 20k-share adds denied, says it cost about half the profit; small acct RDHL -134"
432,_2Wplp-aNr4,recap,red,-134.75,small,1,RDHL,first_pullback,none,?,?,?,?,Stopped out 5.5c on RDHL then it ran to 1.60; cash account settlement blocked any re-entry
433,2T3cZs-LSeY,watchlist,notrade,0,main,0,?,?,none,hot,?,?,?,Themes to watch: low-float biotech with news and SPACs; main account reset to 100K with no leverage
435,dSiAML8v7Ng,other,?,?,?,?,?,?,?,?,?,?,?,Career episode: chose remote work over double office pay to buy time for the trading side hustle
437,jpPgEAAVMxY,recap,green,15113.96,main,3,ESHA;INBS,dip_buy;halt_resumption,none,?,?,?,?,Stopped trading once account hit the 100K balance he wanted for his January reset
438,0Uj8k9PlBhE,recap,green,?,both,2,DRMA,dip_buy,none,?,?,?,?,"Small acct +185.68 on DRMA day 8, up 87 pct; same stock in main account made only about 85 dollars"
440,oHGXH8JnGS4,recap,green,7228.44,main,4,WOK,micro_pullback;dip_buy,reentry_after_stop;oversized;no_cushion;didnt_bank_green,cold,?,?,?,Says 4th WOK trade was a mistake: 25k shares while up only 900; stock blocked at Webull and Schwab
442,f-iUyIhc3NI,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Rule: first trade red is a warning, three red trades means accept a red day; use ice-breaker size"
444,IKwm-KdCqpg,recap,green,5000,main,1,AMCI,bull_flag,didnt_bank_green,cold,?,?,?,Hit the $5k cold-market daily goal on one stock; added 1040/1050/1075 for a 1057 average
445,O5eR2z1_DSc,recap,green,800,main,1,TNMG,dip_buy,none,cold,?,?,?,"One trade, 12,000 shares for about $800, under 10 cents a share; a base hit not a home run"
446,iG3wkTqsRdU,recap,notrade,0,?,0,?,?,none,cold,?,?,?,No-trade day; refused to break the ice at 10am on a low-quality setup before the Christmas holiday
448,xzwNfGm2OWY,recap,green,10806,main,1,CMCT,micro_pullback,none,cold,?,?,?,"Only stock CMCT: started 5,000 shares, scaled past 40,000, average just over 20 cents a share"
449,DLhI6XtBSwc,watchlist,?,?,?,?,?,?,?,cold,?,?,?,Top 10% of trades made $5.4M of $8.4M gross wins; worst 10% lost $1.8M; year to date +$6.4M
452,vRG7rEDDBXw,recap,green,1600,main,1,AZI,halt_resumption;dip_buy,none,cold,?,?,?,"Hit-or-miss week: Mon +71k, Tue +1.1k, Wed +12k, Thu +8k, today +1.6k on one halt resumption"
453,tMmGnVAVDSE,recap,green,8000,both,5,ATHA;LHAI;PAVS,dip_buy;micro_pullback,slippage,cold,07:05,?,?,Hotel wifi lag delayed fills so he cut size; $4.7k in taxable account plus $3.3k in retirement
455,PcKxDURCjww,recap,green,12500,main,4,MBRX;PCSA,flat_top;micro_pullback,none,mixed,08:30,?,?,"Four trades, three winners, one $50 loss; PCSA order for 6,000 shares filled only 350 at +$2"
456,XDyZNlvvyzQ,recap,green,1100,main,2,AMCI,vwap_break;micro_pullback,none,cold,?,?,?,Stopped after two AMCI trades with no cushion built; his money-making window closes at 10:00am
457,-E4GFWozCtM,recap,green,72000,main,6,?,dip_buy;micro_pullback,none,?,?,?,?,"Short clip, ticker never named; scaled a $7k first trade into a $72k peak on a 5.73M-float biotech"
458,TljZgneCPV4,recap,green,71495,main,8,RADX,dip_buy;micro_pullback,divided_attention,?,07:00,07:15,?,Made $71k in about 15 minutes between 7:00 and 7:15; December now +$270k on a $190k account
459,QPOKQt70KAs,watchlist,?,?,?,?,?,?,?,?,?,?,?,"Best window 7-10am, sweet spot $5-10 stocks; $6.4M YTD at 71pct accuracy but only 57pct in December"
461,PjCOraTuBNw,recap,green,14689,main,2,JZXN,micro_pullback;dip_buy,none,?,?,?,?,"Only traded JZXN, which Schwab ThinkorSwim blocked; two dip buys of 12k then 20k shares"
464,9Q5y_PhZfig,recap,green,42846,main,?,AXIL;CRBP;MIGI;BTTC,vwap_break;half_whole_dollar;micro_pullback,chased_extended,mixed,07:00,?,?,"$41k of the $42.8k came from BTTC; five pillars are price, float, news, relative volume, pct change"
466,K-Nf5ls9edA,recap,green,46000,main,?,BBGI;ASPC,dip_buy;halt_resumption;micro_pullback,slippage,cold,?,?,?,"Held 20k BBGI shares into a halt without banking $10k, it resumed higher and he sold for $25k"
467,LTTI4MCJVeQ,recap,green,8000,main,2,MBRX;ATMV,half_whole_dollar;other,none,cold,08:07,?,?,"Day one of recovery after -$38k: get in, get green, get out on a $10k max loss budget"
469,1gADIhkJ1Jw,recap,red,-38000,main,5,ELAB;RUBY;MBRX;WKHS;WVE,half_whole_dollar;flat_top;other,chased_extended;didnt_bank_green;added_to_loser;ignored_own_filter,cold,07:30,?,Y,Dog woke him three times overnight; first trade lost $22k on ELAB and gave back Friday's $37k
470,v-D3N9UL9hI,watchlist,?,?,?,?,?,?,?,?,?,?,?,"Theme is recent reverse splits with sub-1M float and 100pct+ short interest; December +$137k, $27k avg day"
471,3K7pbMtZzj8,recap,green,40000,both,?,ADTX;WHLR,first_pullback;other,slippage,?,?,?,?,Small account +$456 on ADTX for day 7; Webull 98pct-of-buying-power hotkey misfired twice
472,bZjbsbpRwnE,recap,green,38000,main,5,QCLS;WHLR;ADTX,half_whole_dollar;micro_pullback,none,hot,07:00,07:50,?,Skipped SMX at $480 a share because the spread was $13; December sitting at +$137k
474,te09kY-FTMc,recap,green,6300,main,2,PLRZ,micro_pullback,none,cold,?,?,?,Passed on QCLS because the halt band was only 33c above entry and 10-20k share sellers sat on the ask
475,bD7xAMdj4vg,recap,green,?,both,3,HTO;ARTL,half_whole_dollar;dip_buy,didnt_bank_green;chased_extended,?,?,?,?,"Small account +$217 on HTO; main account +$14k on ARTL and -$1.3k on HTO, no day total stated"
477,1ZM1u762e8U,recap,green,?,both,3,SBEV;PLRZ,micro_pullback,none,?,?,?,?,"Small account +$197 on SBEV; main account +$45,373 on the PLRZ micro pullback, no day total stated"
482,pxbEPQ51RzQ,recap,green,39290,main,?,QTTB;AHMA,other,none,hot,?,?,?,"YTD over $6M profit at 71.5% accuracy, avg winner $3,400 vs loser $2,000; big account up 20% in one day"
483,H34--Upw0Do,watchlist,?,?,?,?,?,?,?,?,?,?,?,"SMX profile to hunt: sub-1M float, recent reverse split, price $5-10, news, rel vol above 5x; Nov +$115,000"
485,PtrSd1I9Z50,recap,green,?,both,?,SPRC;AMBR,?,slippage,cold,?,?,?,"Same SPRC trade: +$11.70 at Webull vs -$2,600 in main account from slippage and commissions"
486,udVzNg8FWvg,recap,green,1000,main,1,CY,?,none,cold,?,?,?,"Only trade: 30,000 shares of CY for about 3 cents, $1,000 gross before fees; small account no trades, +55%"
487,cWph88qKZ0w,recap,green,?,both,?,AT,micro_pullback,none,cold,?,?,?,"AT micro pullback filled 3.64 with no slippage, sold 4.03 with 4c price improvement, +$291.56 small account"
488,HpUIGaOfzj0,training,?,?,?,?,?,micro_pullback,?,?,?,?,?,Buys the instant price breaks the prior candle high; exits before it breaks that candle low; ~70% accuracy
489,GfbJUq8IHwE,watchlist,?,?,?,?,?,?,?,?,?,?,?,"Small account +40% in two days; wants $1.50-$2.80 stocks to buy 1,000 shares; MNDR and FOXX the only maybes"
490,ErNhmL7i6oI,recap,green,930.22,main,1,SMX,?,none,cold,?,?,?,"Red on the week: -$6,000 Wed, -$6,000 Thu, +$930 Fri; no small-account trades, passed on IVDA at $1"
491,B6YWrSY4E3U,recap,green,49.77,small,1,PBM,micro_pullback,?,cold,?,?,?,"Five pillars: price $2-20, up 10%, 5x rel volume, news, float under 20M; his avg winner is 18 cents/share"
493,FuDhJrtboDE,recap,red,-8393.16,both,?,EPWK;KZIA,?,chased_extended;ignored_own_filter;reentry_after_stop;divided_attention,cold,?,?,?,"Missed EPWK was a Chinese company; small account +$759.42 (37%) while main account lost $8,393.16"
494,mk0qg2TKnJk,recap,notrade,?,?,0,?,?,none,?,?,?,?,Cloudflare outage killed his scanners; took no trades and hosted a 2-hour Q&A instead; OMA ran 300%
498,jqwMSYjRoIU,recap,notrade,0,both,0,?,?,none,cold,?,?,?,"No-trade day by choice, 7:00 to 10:30 at the desk; passed AMIX micro pullback at $1; last week +$97,000"
499,UGw2F3eIswU,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Resets Webull acct to $2,000 for small-acct challenge; goal 10%/day, one trade a day, $2-5 stocks"
501,-6gIqlVhxeI,training,?,?,?,?,?,?,?,?,?,?,?,"Cash-acct plan: one trade a day, 10% daily goal and 10% max loss, $2-20, float under 20M, MACD positive"
502,Khxza62tZmc,recap,green,2291,main,2,LRHC;SGBX,dip_buy;red_to_green,didnt_bank_green;broke_ice_boredom,mixed,09:05,?,?,"Lost $4,446 on LRHC at 9:05 then +$6,737 on SGBX red-to-green; quit early to stay green"
504,Gc_6YvoFOuA,recap,green,9818,main,?,CMCT,micro_pullback,didnt_bank_green;traded_low_quality,cold,07:30,?,?,"+$9,817.91 on CMCT; gave back $4k off the top; REIT sector stopped it pulling away"
505,YB1Khg7D23k,recap,green,20000,main,?,TURB;QNRX;RAIN,vwap_break;micro_pullback,oversized;slippage;didnt_bank_green,hot,?,?,?,Was up $50k then lost $31k on RAIN adding 15k shares into hidden seller at $10; net +$20k
509,a7ONxKojI4E,watchlist,notrade,?,?,0,?,?,?,cold,?,?,?,Friday no-trade day; Nov +$18k so far; battening down hatches with smaller size until cushion built
513,dOtgt3fHQf8,recap,green,2824,main,?,NUAI;FTEL,first_pullback;micro_pullback,didnt_bank_green,cold,08:00,?,?,"+$2,823.92; was up $8k on FTEL then gave it back adding into a failed retest of $5"
515,7MuijbbKkLA,recap,red,-5000,main,4,LNAI;CCTG,micro_pullback,ignored_own_filter;reentry_after_stop;traded_low_quality,cold,09:15,?,Y,"4 trades 3 losers, says he is at max loss; LNAI failed five pillars, CCTG a Chinese pump"
517,ef4ncWKYBkM,recap,green,134,main,2,ARTL;ABP,micro_pullback;half_whole_dollar,broke_ice_boredom,cold,?,?,?,"Only +$134.15 on 2 trades; refuses to short, fears one squeeze wiping out career profit"
519,czJxKq1GIsM,recap,green,11698,main,?,PHIO;NCRA;THAR,abcd;micro_pullback,didnt_bank_green;reentry_after_stop;oversized,?,?,?,?,"Up $25k then gave back to +$11,697.67 re-entering THAR full size after rejections"
520,oB-LJHoVyqg,watchlist,notrade,?,?,0,?,?,?,cold,?,?,?,Thu and Fri no-trade days; October his worst month of the year; delaying small-acct challenge
